parameter_id,GMC_906_001_005
mouse_strain,C57BL
pvalue,0.4564755
parameter_name,Potassium
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
gene_symbol,Duoxa2
analysis_id,3782k0p6jb10kck
