mouse_strain,C57BL
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,Early adult
analysis_id,yd1j19tdk58bv76
parameter_id,IMPC_IMM_004_001
parameter_name,NKT cells (panel A)
pvalue,0.9671337
