gene_symbol,Tatdn3
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte number
analysis_id,cv9l24g60d5eouk
parameter_id,MGP_PBI_038_001
pvalue,0.3360842
