gene_symbol,Sdcbp2
pvalue,1.259832
parameter_id,IMPC_ACS_037_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
mouse_strain,C57BL
analysis_id,16p82yao7a7t9sh
parameter_name,% Pre-pulse inhibition - Global
