Parameter_name,Center average speed
Analysis_id,7cvn4r3f4sq8806
Mouse_strain,C57BL
Parameter_id,IMPC_OFD_017_001
Gene_symbol,Nanp
Pvalue,0.6653714
Mouse_life_stage,E18.5
Gene_accession_id,MGI:1914561
