parameter_name,Hindlimb digit - size
mouse_strain,C57BL
pvalue,0.1493756
mouse_life_stage,E15.5
parameter_id,IMPC_CSD_047_001
analysis_id,p9f2m85x4lz8751
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
