gene_symbol,Ppm1j
parameter_name,Percent time in dark
parameter_id,JAX_LDT_008_001
analysis_id,277flg32bwoscuz
mouse_strain,C57BL
gene_accession_id,MGI:1919137
pvalue,0.5839191
mouse_life_stage,Early adult
