parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
gene_accession_id,MGI:891989
analysis_id,91res15vocbp12t
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_002_001
gene_symbol,Npbwr1
pvalue,0.229922
