parameter_name,Tremor
analysis_id,0ktfa784ho14xnk
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
pvalue,0.3218732
gene_symbol,Ap5s1
