parameter_name,NKT cells (panel A)
gene_accession_id,MGI:88174
gene_symbol,Bmi1
pvalue,0.6704305
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_004_001
analysis_id,9y59261766ouj03
mouse_strain,C57BL
