gene_symbol,Arpc2
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
pvalue,0.3157777
mouse_strain,129SV
parameter_id,MGP_IMM_078_001
parameter_name,Resting Treg cells - % of CD45+
analysis_id,7z3683zd8ze997v
