analysis_id,zji7d3b6i8mg92s
gene_accession_id,MGI:1916846
pvalue,0.805056
mouse_life_stage,Early adult
parameter_name,NK Subsets (Q2)
gene_symbol,Ap5s1
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
