gene_symbol,Rhbg
parameter_id,IMPC_GEL_063_001
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
analysis_id,31x0hi39ykpik49
pvalue,0.5895816
parameter_name,Delayed embryonic development
mouse_strain,C57BL
