analysis_id,0cjtm76x44b2v5b
gene_symbol,Pglyrp3
mouse_strain,C57BL
gene_accession_id,MGI:2685266
pvalue,0.6842967
mouse_life_stage,Early adult
parameter_name,Coat - color pattern - back
parameter_id,HRWLLA_CSD_008_001
