parameter_id,IMPC_IMM_034_001
pvalue,0.6586347
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,kkj2i0tej4xpis7
