mouse_strain,129SV
gene_symbol,Ddx27
analysis_id,d56p0vlf09puq0i
pvalue,0.7265331
parameter_name,DN CD25- NKT cells
parameter_id,IMPC_IMM_025_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
