analysis_id,a4925295400153o
gene_accession_id,MGI:88380
parameter_name,110dB startle magnitude
parameter_id,ESLIM_011_001_006
mouse_life_stage,Early adult
pvalue,0.8826504
gene_symbol,F2
mouse_strain,C57BL
