parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
gene_symbol,Nr0b2
analysis_id,f004dbz31gw02wq
pvalue,0.3169079
mouse_life_stage,Early adult
mouse_strain,B6J
gene_accession_id,MGI:1346344
