analysis_id,0vv6a502ag3w26t
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:109356
parameter_id,MGP_IMM_089_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Snap23
pvalue,0.1489122
