analysis_id,89h8oyhg3uk04u0
pvalue,0.3446781
mouse_life_stage,Early adult
parameter_name,Center permanence time
mouse_strain,C57BL
gene_symbol,Slc28a2
gene_accession_id,MGI:1913105
parameter_id,JAX_OFD_016_001
