parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ddx27
pvalue,0.4587131
gene_accession_id,MGI:2385884
analysis_id,7416a7lajuf6dc8
