parameter_name,White blood cell count
gene_symbol,Alkbh3
mouse_strain,C57BL
gene_accession_id,MGI:1916363
analysis_id,3l41b6tp8596314
pvalue,0.8085983
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_001_001
