gene_symbol,Bdh2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
pvalue,0.1896413
gene_accession_id,MGI:1917022
analysis_id,edgz28h0s00g4u4
