gene_symbol,Kifap3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Center average speed
analysis_id,2p09a55lnvo9jcg
pvalue,0.1465606
gene_accession_id,MGI:107566
parameter_id,HRWLLA_OFD_017_001
