analysis_id,v8al6ufreuswut1
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,Time mobile dark side
mouse_life_stage,Early adult
gene_symbol,Secisbp2l
parameter_id,JAX_LDT_005_001
pvalue,0.1886209
