analysis_id,5019tgm7j8ur147
parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:2446186
parameter_name,Hindlimbs - size
pvalue,0.8074565
mouse_strain,C57BL
gene_symbol,Lpgat1
mouse_life_stage,Early adult
