parameter_name,Follicular B Cells (CD21/35+)
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:95835
analysis_id,tkgh2md45c8yg34
pvalue,1.315803
gene_symbol,Hspa5
mouse_life_stage,Early adult
mouse_strain,C57BL
