analysis_id,7j293lftv1s771e
parameter_name,Pale yolk sac
gene_accession_id,MGI:1915087
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.1052437
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_017_002
