analysis_id,07b75jpg3225a4u
mouse_strain,C57BL
gene_symbol,Hpca
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Middle aged adult
parameter_id,MGP_MLN_093_001
gene_accession_id,MGI:1336200
pvalue,0.06309082
