analysis_id,657u423d4389k13
parameter_name,Edema
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
parameter_id,IMPC_GEO_064_001
pvalue,0.9298579
