parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Ubxn4
pvalue,0.530344
mouse_strain,C53BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1915062
analysis_id,695822493514329
parameter_id,IMPC_IMM_047_001
