analysis_id,m2c1kkkhz6t1h14
mouse_strain,C57BL
parameter_name,Ulna
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:1925049
pvalue,0.4937141
mouse_life_stage,Early adult
gene_symbol,Sla2
