parameter_name,Chloride
gene_symbol,Tiprl
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,121atm7n7jbnxzg
pvalue,0.1729852
parameter_id,HMGULA_CBC_003_001
gene_accession_id,MGI:1915087
