gene_symbol,Lamb3
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
analysis_id,n755vw7itg2m5wj
parameter_id,MGP_MLN_021_001
pvalue,0.7901646
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
