analysis_id,d3l5n9q6345a795
mouse_life_stage,Late adult
gene_symbol,AU040320
gene_accession_id,MGI:2140475
parameter_id,MGP_PBI_003_001
pvalue,0.5546246
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
