gene_symbol,Trdmt1
pvalue,0.8981132
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:1274787
analysis_id,7fc93z93052dh49
mouse_life_stage,Early adult
parameter_name,Tibia length
mouse_strain,C57BL
