analysis_id,6p599p27wu9a0t7
pvalue,0.396804
mouse_life_stage,E18.5
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_name,Fat/Body weight
gene_symbol,Nanp
