analysis_id,xnxy7g6ru94657j
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_name,Embryo Size
pvalue,0
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
parameter_id,IMPC_GEL_032_001
