analysis_id,25v9210tz4y2p5z
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:2446274
pvalue,0.545047
parameter_name,Fat/Body weight
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Frmpd1
