gene_symbol,Lamb3
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:99915
analysis_id,dqaulrdu8umyo67
mouse_strain,C57BL
parameter_name,Heart weight
pvalue,0.753095
mouse_life_stage,Early adult
