parameter_name,Percent time in light
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
parameter_id,JAX_LDT_009_001
mouse_strain,C57BL
analysis_id,w4w7jwda10d2419
gene_symbol,Gfi1b
pvalue,0.3582167
