parameter_id,IMPC_GEL_011_001
analysis_id,7384426tcex1uq7
mouse_strain,C57BL
parameter_name,Embryo turning
gene_accession_id,MGI:2140475
pvalue,0.8836449
mouse_life_stage,Early adult
gene_symbol,AU040320
