parameter_name,B Cells
pvalue,0.05469972
gene_symbol,Kdm4c
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_063_001
mouse_strain,C57BL
analysis_id,7160vz8xr5k8o79
gene_accession_id,MGI:1924054
