parameter_name,Alanine aminotransferase
gene_accession_id,MGI:1915087
analysis_id,lsg94cj8yw06mu7
pvalue,0.1286792
parameter_id,IMPC_CBC_013_001
gene_symbol,Tiprl
mouse_life_stage,Early adult
mouse_strain,C57BL
