parameter_name,Neutrophil cell count
gene_accession_id,MGI:1917604
parameter_id,IMPC_HEM_030_001
pvalue,0.5075896
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
analysis_id,60owo371q64q99j
