analysis_id,tkt34u7i4fq08s9
parameter_name,Breath rate during sleep mean
mouse_strain,C57BL
pvalue,0.3547371
parameter_id,JAX_SLW_013_001
mouse_life_stage,E18.5
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
