analysis_id,659zqw79kdx560u
parameter_name,Alkaline phosphatase
pvalue,0.3544152
gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
