analysis_id,d1h62v787856690
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
gene_accession_id,MGI:88174
pvalue,0.7252011
mouse_life_stage,E12.5
parameter_name,Total CD4+ T cells - % of ab T cells
gene_symbol,Bmi1
