parameter_name,White blood cell count
gene_accession_id,MGI:2444554
pvalue,0.9281357
mouse_strain,C57BL
parameter_id,IMPC_HEM_001_001
mouse_life_stage,E15.5
analysis_id,tu8886kq0xu33me
gene_symbol,Mapkap1
