analysis_id,z9k10134d2qpko5
gene_accession_id,MGI:96757
parameter_id,IMPC_CBC_024_001
mouse_life_stage,Early adult
parameter_name,UIBC (unsaturated iron binding capacity)
pvalue,0.7681536
mouse_strain,C57BL
gene_symbol,Lcn2
