gene_symbol,Lrrc69
parameter_name,Body weight
analysis_id,417sj9kaq5j5p35
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6903671
gene_accession_id,MGI:1920564
parameter_id,M-G-P_009_001_003
