gene_symbol,Cdin1
parameter_id,JAX_OFD_014_001
analysis_id,h444zo52jdqlr41
parameter_name,Center distance travelled
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5087335
gene_accession_id,MGI:3026886
