analysis_id,583150ipaxnl091
parameter_id,MGP_MLN_021_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.4432372
mouse_strain,C57BL
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
mouse_life_stage,Early adult
