analysis_id,17e151q591502c5
mouse_strain,C57BL
gene_symbol,Bach2
pvalue,0.2197787
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
