analysis_id,40202lrn35k18r8
pvalue,0.7337239
parameter_id,MGP_IMM_070_001
gene_symbol,Morn5
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
mouse_strain,C57BL
