analysis_id,850ndo6cx357961
pvalue,0.3960405
parameter_name,Number of rears - total
mouse_strain,C57BL
parameter_id,JAX_OFD_021_001
gene_symbol,Dmap1
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
