parameter_name,Hindlimbs - shape
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5724048
analysis_id,5p29xq5x6x1981x
parameter_id,JAXLA_CSD_021_001
gene_symbol,Hspa5
