analysis_id,hveh7985of6b83d
gene_accession_id,MGI:1888742
parameter_name,Creatinine
mouse_life_stage,Early adult
pvalue,0.4957288
parameter_id,JAX_URI_002_001
mouse_strain,C57BL
gene_symbol,Extl1
