gene_symbol,Ssr2
gene_accession_id,MGI:1913506
analysis_id,jr2ep4565p5cege
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_034_001
pvalue,0.7927729
parameter_name,B cell number
