analysis_id,148c86y6ex8x0l7
parameter_id,MGP_MLN_072_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Ola1
gene_accession_id,MGI:1914309
pvalue,0.3411608
