parameter_name,Body length
analysis_id,z8a955g9f0351ta
gene_symbol,Dmap1
pvalue,0.9089494
parameter_id,IMPC_DXA_006_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913483
