parameter_name,Mean cell hemoglobin concentration
analysis_id,h95vz3453f385pk
parameter_id,IMPC_HEM_007_001
mouse_life_stage,Early adult
pvalue,1.108877
gene_symbol,Abo
gene_accession_id,MGI:2135738
mouse_strain,C57BL
