analysis_id,33q8m5h53w6d1fc
gene_accession_id,MGI:106100
gene_symbol,Etfdh
mouse_strain,C50BL
parameter_id,ESLIM_011_001_703
parameter_name,Prepulse inhibition - PP3
pvalue,0.3335952
mouse_life_stage,Early adult
