gene_symbol,Car13
parameter_name,Bone Mineral Content
gene_accession_id,MGI:1931322
mouse_strain,C57BL
analysis_id,c26mx45uljve7j5
pvalue,0.6342537
parameter_id,ESLIM_005_001_005
mouse_life_stage,Early adult
